image_name,class
172286.jpg,Barred Spiral
99277.jpg,Barred Spiral
16393.jpg,Barred Spiral
137501.jpg,Barred Spiral
258488.jpg,Barred Spiral
233459.jpg,Barred Spiral
63508.jpg,Barred Spiral
94507.jpg,Barred Spiral
30224.jpg,Barred Spiral
271482.jpg,Barred Spiral
127399.jpg,Barred Spiral
82240.jpg,Barred Spiral
237071.jpg,Barred Spiral
83397.jpg,Barred Spiral
122508.jpg,Barred Spiral
152983.jpg,Barred Spiral
787.jpg,Barred Spiral
35450.jpg,Barred Spiral
273141.jpg,Barred Spiral
169265.jpg,Barred Spiral
177893.jpg,Barred Spiral
243366.jpg,Barred Spiral
171079.jpg,Barred Spiral
122396.jpg,Barred Spiral
173057.jpg,Barred Spiral
60824.jpg,Barred Spiral
200494.jpg,Barred Spiral
180698.jpg,Barred Spiral
49917.jpg,Barred Spiral
95290.jpg,Barred Spiral
219160.jpg,Barred Spiral
158205.jpg,Barred Spiral
288373.jpg,Barred Spiral
73194.jpg,Barred Spiral
51700.jpg,Barred Spiral
195271.jpg,Barred Spiral
131476.jpg,Barred Spiral
263376.jpg,Barred Spiral
98465.jpg,Barred Spiral
129138.jpg,Barred Spiral
115222.jpg,Barred Spiral
3058.jpg,Barred Spiral
270381.jpg,Barred Spiral
125900.jpg,Barred Spiral
56401.jpg,Barred Spiral
170272.jpg,Barred Spiral
254413.jpg,Barred Spiral
166550.jpg,Barred Spiral
172541.jpg,Barred Spiral
258159.jpg,Barred Spiral
23670.jpg,Barred Spiral
174586.jpg,Barred Spiral
64302.jpg,Barred Spiral
192613.jpg,Barred Spiral
4124.jpg,Barred Spiral
267327.jpg,Barred Spiral
186400.jpg,Barred Spiral
120660.jpg,Barred Spiral
264928.jpg,Barred Spiral
209300.jpg,Barred Spiral
259250.jpg,Barred Spiral
137960.jpg,Barred Spiral
265280.jpg,Barred Spiral
283758.jpg,Barred Spiral
112703.jpg,Barred Spiral
193864.jpg,Barred Spiral
114952.jpg,Barred Spiral
281157.jpg,Barred Spiral
271858.jpg,Barred Spiral
6945.jpg,Barred Spiral
165185.jpg,Barred Spiral
57405.jpg,Barred Spiral
228890.jpg,Barred Spiral
31002.jpg,Barred Spiral
14449.jpg,Barred Spiral
266278.jpg,Barred Spiral
219180.jpg,Barred Spiral
289112.jpg,Barred Spiral
129536.jpg,Barred Spiral
194132.jpg,Barred Spiral
177770.jpg,Barred Spiral
23791.jpg,Barred Spiral
81761.jpg,Barred Spiral
54146.jpg,Barred Spiral
206016.jpg,Barred Spiral
166070.jpg,Barred Spiral
247338.jpg,Barred Spiral
64317.jpg,Barred Spiral
7103.jpg,Barred Spiral
204047.jpg,Barred Spiral
170324.jpg,Barred Spiral
251693.jpg,Barred Spiral
200991.jpg,Barred Spiral
191664.jpg,Barred Spiral
166974.jpg,Barred Spiral
99404.jpg,Barred Spiral
265727.jpg,Barred Spiral
64999.jpg,Barred Spiral
291013.jpg,Barred Spiral
209168.jpg,Barred Spiral
237569.jpg,Barred Spiral
160521.jpg,Barred Spiral
87771.jpg,Barred Spiral
269736.jpg,Barred Spiral
160568.jpg,Barred Spiral
