asset_id,class
300000,Barred Spiral
300001,Barred Spiral
300002,Barred Spiral
300003,Barred Spiral
300004,Barred Spiral
300005,Barred Spiral
300006,Barred Spiral
300007,Barred Spiral
300008,Barred Spiral
300009,Barred Spiral
300010,Barred Spiral
300011,Barred Spiral
300012,Barred Spiral
300013,Barred Spiral
300014,Barred Spiral
300015,Barred Spiral
300016,Barred Spiral
300017,Barred Spiral
300018,Barred Spiral
300019,Barred Spiral
300020,Barred Spiral
300021,Barred Spiral
300022,Barred Spiral
300023,Barred Spiral
300024,Barred Spiral
300025,Barred Spiral
300026,Barred Spiral
300027,Barred Spiral
300028,Barred Spiral
300029,Barred Spiral
300030,Barred Spiral
300031,Barred Spiral
300032,Barred Spiral
300033,Barred Spiral
300034,Barred Spiral
300035,Barred Spiral
300036,Barred Spiral
300037,Barred Spiral
300038,Barred Spiral
300039,Barred Spiral
300040,Barred Spiral
300041,Barred Spiral
300042,Barred Spiral
300043,Barred Spiral
300044,Barred Spiral
300045,Barred Spiral
300046,Barred Spiral
300047,Barred Spiral
300048,Barred Spiral
300049,Barred Spiral
300050,Barred Spiral
300051,Barred Spiral
300052,Barred Spiral
300053,Barred Spiral
300054,Barred Spiral
300055,Barred Spiral
300056,Barred Spiral
300057,Barred Spiral
300058,Barred Spiral
300059,Barred Spiral
300060,Barred Spiral
300061,Barred Spiral
300062,Barred Spiral
300063,Barred Spiral
300064,Barred Spiral
300065,Barred Spiral
300066,Barred Spiral
300067,Barred Spiral
300068,Barred Spiral
300069,Barred Spiral
300070,Barred Spiral
300071,Barred Spiral
300072,Barred Spiral
300073,Barred Spiral
300074,Barred Spiral
300075,Barred Spiral
300076,Barred Spiral
300077,Barred Spiral
300078,Barred Spiral
300079,Barred Spiral
300080,Barred Spiral
300081,Barred Spiral
300082,Barred Spiral
300083,Barred Spiral
300084,Barred Spiral
300085,Barred Spiral
300086,Barred Spiral
300087,Barred Spiral
300088,Barred Spiral
300089,Barred Spiral
300090,Barred Spiral
300091,Barred Spiral
300092,Barred Spiral
300093,Barred Spiral
300094,Barred Spiral
300095,Barred Spiral
300096,Barred Spiral
300097,Barred Spiral
300098,Barred Spiral
300099,Barred Spiral
300100,Barred Spiral
300101,Barred Spiral
300102,Barred Spiral
300103,Barred Spiral
300104,Barred Spiral
300105,Barred Spiral
300106,Barred Spiral
300107,Barred Spiral
300108,Barred Spiral
300109,Barred Spiral
300110,Barred Spiral
300111,Barred Spiral
300112,Barred Spiral
300113,Barred Spiral
300114,Barred Spiral
300115,Barred Spiral
300116,Barred Spiral
300117,Barred Spiral
300118,Barred Spiral
300119,Barred Spiral
300120,Barred Spiral
300121,Barred Spiral
300122,Barred Spiral
300123,Barred Spiral
300124,Barred Spiral
300125,Barred Spiral
300126,Barred Spiral
300127,Barred Spiral
300128,Barred Spiral
300129,Barred Spiral
300130,Barred Spiral
300131,Barred Spiral
300132,Barred Spiral
300133,Barred Spiral
300134,Barred Spiral
300135,Barred Spiral
300136,Barred Spiral
300137,Barred Spiral
300138,Barred Spiral
300139,Barred Spiral
300140,Barred Spiral
300141,Barred Spiral
300142,Barred Spiral
300143,Barred Spiral
300144,Barred Spiral
300145,Barred Spiral
300146,Barred Spiral
300147,Barred Spiral
300148,Barred Spiral
300149,Barred Spiral
300150,Barred Spiral
300151,Barred Spiral
300152,Barred Spiral
300153,Barred Spiral
300154,Barred Spiral
300155,Barred Spiral
300156,Barred Spiral
300157,Barred Spiral
300158,Barred Spiral
300159,Barred Spiral
300160,Barred Spiral
300161,Barred Spiral
300162,Barred Spiral
300163,Barred Spiral
300164,Barred Spiral
300165,Barred Spiral
300166,Barred Spiral
300167,Barred Spiral
300168,Barred Spiral
300169,Barred Spiral
300170,Barred Spiral
300171,Barred Spiral
300172,Barred Spiral
300173,Barred Spiral
300174,Barred Spiral
300175,Barred Spiral
300176,Barred Spiral
300177,Barred Spiral
300178,Barred Spiral
300179,Barred Spiral
300180,Barred Spiral
300181,Barred Spiral
300182,Barred Spiral
300183,Barred Spiral
300184,Barred Spiral
300185,Barred Spiral
300186,Barred Spiral
300187,Barred Spiral
300188,Barred Spiral
300189,Barred Spiral
300190,Barred Spiral
300191,Barred Spiral
300192,Barred Spiral
300193,Barred Spiral
300194,Barred Spiral
300195,Barred Spiral
300196,Barred Spiral
300197,Barred Spiral
300198,Barred Spiral
