Asset_id,class
73,Barred Spiral
82,Barred Spiral
83,Barred Spiral
103,Barred Spiral
160,Barred Spiral
169,Barred Spiral
189,Barred Spiral
191,Barred Spiral
218,Barred Spiral
221,Barred Spiral
252,Barred Spiral
280,Barred Spiral
281,Barred Spiral
303,Barred Spiral
310,Barred Spiral
324,Barred Spiral
354,Barred Spiral
417,Barred Spiral
435,Barred Spiral
481,Barred Spiral
540,Barred Spiral
562,Barred Spiral
581,Barred Spiral
621,Barred Spiral
642,Barred Spiral
644,Barred Spiral
679,Barred Spiral
687,Barred Spiral
689,Barred Spiral
711,Barred Spiral
735,Barred Spiral
752,Barred Spiral
772,Barred Spiral
777,Barred Spiral
787,Barred Spiral
818,Barred Spiral
829,Barred Spiral
854,Barred Spiral
879,Barred Spiral
893,Barred Spiral
903,Barred Spiral
962,Barred Spiral
972,Barred Spiral
976,Barred Spiral
977,Barred Spiral
989,Barred Spiral
998,Barred Spiral
1015,Barred Spiral
1018,Barred Spiral
1020,Barred Spiral
1021,Barred Spiral
1029,Barred Spiral
1085,Barred Spiral
1126,Barred Spiral
1135,Barred Spiral
1168,Barred Spiral
1176,Barred Spiral
1188,Barred Spiral
1196,Barred Spiral
1203,Barred Spiral
1218,Barred Spiral
1252,Barred Spiral
1261,Barred Spiral
1282,Barred Spiral
1284,Barred Spiral
1306,Barred Spiral
1310,Barred Spiral
1339,Barred Spiral
1350,Barred Spiral
1351,Barred Spiral
1352,Barred Spiral
1400,Barred Spiral
1402,Barred Spiral
1446,Barred Spiral
1470,Barred Spiral
1502,Barred Spiral
1573,Barred Spiral
1596,Barred Spiral
1669,Barred Spiral
1678,Barred Spiral
1683,Barred Spiral
1741,Barred Spiral
1768,Barred Spiral
1777,Barred Spiral
1790,Barred Spiral
1815,Barred Spiral
1846,Barred Spiral
1909,Barred Spiral
1956,Barred Spiral
1995,Barred Spiral
1996,Barred Spiral
1998,Barred Spiral
2021,Barred Spiral
2047,Barred Spiral
2059,Barred Spiral
2060,Barred Spiral
2116,Barred Spiral
2200,Barred Spiral
2201,Barred Spiral
2232,Barred Spiral
2249,Barred Spiral
2292,Barred Spiral
2313,Barred Spiral
2318,Barred Spiral
2321,Barred Spiral
2415,Barred Spiral
2445,Barred Spiral
2468,Barred Spiral
2504,Barred Spiral
2574,Barred Spiral
2599,Barred Spiral
2627,Barred Spiral
2644,Barred Spiral
2647,Barred Spiral
2667,Barred Spiral
2678,Barred Spiral
2690,Barred Spiral
2691,Barred Spiral
2695,Barred Spiral
2696,Barred Spiral
2745,Barred Spiral
2753,Barred Spiral
2763,Barred Spiral
2765,Barred Spiral
2771,Barred Spiral
2799,Barred Spiral
2821,Barred Spiral
2823,Barred Spiral
2879,Barred Spiral
2890,Barred Spiral
2902,Barred Spiral
2921,Barred Spiral
2952,Barred Spiral
2960,Barred Spiral
2977,Barred Spiral
2996,Barred Spiral
3002,Barred Spiral
3030,Barred Spiral
3039,Barred Spiral
3058,Barred Spiral
3090,Barred Spiral
3103,Barred Spiral
3159,Barred Spiral
3171,Barred Spiral
3173,Barred Spiral
3211,Barred Spiral
3295,Barred Spiral
3319,Barred Spiral
3328,Barred Spiral
3420,Barred Spiral
3423,Barred Spiral
3427,Barred Spiral
3439,Barred Spiral
3478,Barred Spiral
3489,Barred Spiral
3494,Barred Spiral
3526,Barred Spiral
3576,Barred Spiral
3586,Barred Spiral
3642,Barred Spiral
3652,Barred Spiral
3668,Barred Spiral
3715,Barred Spiral
3738,Barred Spiral
3793,Barred Spiral
3827,Barred Spiral
3833,Barred Spiral
3864,Barred Spiral
3907,Barred Spiral
3911,Barred Spiral
3918,Barred Spiral
3921,Barred Spiral
3928,Barred Spiral
3954,Barred Spiral
3976,Barred Spiral
3983,Barred Spiral
4074,Barred Spiral
4083,Barred Spiral
4108,Barred Spiral
4152,Barred Spiral
4154,Barred Spiral
4201,Barred Spiral
4221,Barred Spiral
4254,Barred Spiral
4287,Barred Spiral
4288,Barred Spiral
4289,Barred Spiral
4299,Barred Spiral
4343,Barred Spiral
4344,Barred Spiral
4345,Barred Spiral
4389,Barred Spiral
4406,Barred Spiral
4408,Barred Spiral
4426,Barred Spiral
4518,Barred Spiral
4524,Barred Spiral
4658,Barred Spiral
4682,Barred Spiral
4720,Barred Spiral
4723,Barred Spiral
4747,Barred Spiral
4748,Barred Spiral
4751,Barred Spiral
4819,Barred Spiral
4827,Barred Spiral
4832,Barred Spiral
4849,Barred Spiral
4902,Barred Spiral
4917,Barred Spiral
5004,Barred Spiral
5005,Barred Spiral
5052,Barred Spiral
5065,Barred Spiral
5084,Barred Spiral
5108,Barred Spiral
5123,Barred Spiral
5195,Barred Spiral
5197,Barred Spiral
5203,Barred Spiral
5212,Barred Spiral
5213,Barred Spiral
5225,Barred Spiral
5226,Barred Spiral
5235,Barred Spiral
5241,Barred Spiral
5254,Barred Spiral
5264,Barred Spiral
5315,Barred Spiral
5368,Barred Spiral
5397,Barred Spiral
5416,Barred Spiral
5431,Barred Spiral
5454,Barred Spiral
5457,Barred Spiral
5465,Barred Spiral
5486,Barred Spiral
5508,Barred Spiral
5571,Barred Spiral
5573,Barred Spiral
5588,Barred Spiral
5622,Barred Spiral
5662,Barred Spiral
5675,Barred Spiral
5702,Barred Spiral
5723,Barred Spiral
5727,Barred Spiral
5729,Barred Spiral
5749,Barred Spiral
5760,Barred Spiral
5775,Barred Spiral
5777,Barred Spiral
5793,Barred Spiral
5808,Barred Spiral
5838,Barred Spiral
